filename-1,filename-2,similarity,title-1,year-1,month-1,day-1,title-2,year-2,month-2,day-2,date-1,month_start,month
2024-03-17_338.txt,2024-03-29_225.txt,1.0000000000000004,Israel’s war on Gaza updates: Rafah invasion to be ‘avoided at all costs’,2024,3,17,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,2024-03-17,2024-03-01,March
2024-03-27_248.txt,2024-03-29_225.txt,1.0000000000000004,Israel’s war on Gaza updates: Ceasefire hopes ‘drowned out by bombs’,2024,3,27,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,2024-03-27,2024-03-01,March
2024-03-23_278.txt,2024-03-29_225.txt,1.0000000000000004,Israel’s war on Gaza updates: UN chief says blocked aid a ‘moral outrage’,2024,3,23,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,2024-03-23,2024-03-01,March
2024-03-16_344.txt,2024-03-29_225.txt,0.9774918563694251,Israel’s war on Gaza updates: ‘Humanitarian catastrophe’ must not escalate,2024,3,16,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,2024-03-16,2024-03-01,March
2024-03-22_289.txt,2024-03-29_225.txt,0.902275724668934,"Israel’s war on Gaza updates: Russia, China veto US resolution on Gaza",2024,3,22,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,2024-03-22,2024-03-01,March
2024-03-20_313.txt,2024-03-29_225.txt,0.9312575078880938,Israel’s war on Gaza updates: Israel ‘negative’ on Hamas truce proposal,2024,3,20,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,2024-03-20,2024-03-01,March
2024-03-12_381.txt,2024-03-29_225.txt,0.963087062849196,Israel’s war on Gaza updates: ‘This war is a war on children’ – UN,2024,3,12,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,2024-03-12,2024-03-01,March
2024-03-28_237.txt,2024-03-29_225.txt,0.8825089549437722,Israel’s war on Gaza updates: ICJ again orders Israel to ensure aid to Gaza,2024,3,28,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,2024-03-28,2024-03-01,March
2024-03-25_267.txt,2024-03-29_225.txt,0.8716727690297942,Israel’s war on Gaza updates: UN expert reports on genocidal acts in Gaza,2024,3,25,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,2024-03-25,2024-03-01,March
2024-03-26_257.txt,2024-03-29_225.txt,0.849253539423493,Israel’s war on Gaza updates: Israel says Hamas chief killed on March 10,2024,3,26,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,2024-03-26,2024-03-01,March
2024-03-29_225.txt,2024-04-05_143.txt,0.9707640365325956,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,Israel’s war on Gaza updates: ‘Scattered measures’ for Gaza aid not enough,2024,4,5,2024-03-29,2024-03-01,March
2024-03-29_225.txt,2024-04-03_165.txt,0.9698088099777916,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,Israel’s war on Gaza updates: 6 months of war sees children deprived of aid,2024,4,3,2024-03-29,2024-03-01,March
2024-03-29_225.txt,2024-04-09_94.txt,0.9626785685730612,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,"Israel’s war on Gaza updates: Israel blocked half of March food convoys, UN",2024,4,9,2024-03-29,2024-03-01,March
2024-03-29_225.txt,2024-04-17_18.txt,0.961809800796348,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,Israel’s war on Gaza updates: World awaits threatened attack on Iran,2024,4,17,2024-03-29,2024-03-01,March
2024-04-15_35.txt,2024-04-17_18.txt,0.8791901913437069,Israel’s war on Gaza updates: New mass grave found at al-Shifa Hospital,2024,4,15,Israel’s war on Gaza updates: World awaits threatened attack on Iran,2024,4,17,2024-04-15,2024-04-01,April
2024-03-29_225.txt,2024-03-30_616.txt,0.9608622547350568,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,Israel’s war on Gaza updates: Ceasefire talks to resume in Egypt,2024,3,30,2024-03-29,2024-03-01,March
2024-03-29_225.txt,2024-04-06_126.txt,0.9608622547350568,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,Israel’s war on Gaza updates: Hamas sending team to Egypt ceasefire talks,2024,4,6,2024-03-29,2024-03-01,March
2024-03-29_225.txt,2024-04-08_107.txt,0.9603545727072672,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,Israel’s war on Gaza updates: Netanyahu says date set for Rafah offensive,2024,4,8,2024-03-29,2024-03-01,March
2024-03-29_225.txt,2024-03-31_207.txt,0.9517273217639388,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,Israel’s war on Gaza updates: Israeli army says Hezbollah commander killed,2024,3,31,2024-03-29,2024-03-01,March
2024-03-29_225.txt,2024-04-07_120.txt,0.945156796262997,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,Israel’s war on Gaza updates: Israel says troops moved for new operations,2024,4,7,2024-03-29,2024-03-01,March
2024-03-29_225.txt,2024-04-02_184.txt,0.940913397046913,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,Israel’s war on Gaza updates: Aid workers killed amid ‘man-made famine’,2024,4,2,2024-03-29,2024-03-01,March
2024-03-29_225.txt,2024-04-01_196.txt,0.9405350646719532,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,Israel’s war on Gaza updates: New Israeli law paves way for Al Jazeera ban,2024,4,1,2024-03-29,2024-03-01,March
